Statistics results for Tue Jan 16 11:20:45 AST 2018
Dataset: F:\NAIMA\13_12_2017\local_analysis\Results_different_order\7\gene\lumi\f_01\comp_WT-TG-3.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Mus_musculus_Curation-AnalysisCollection__gpml_2017
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Mm_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: [P.Value] <= 0.01  AND ( [Fold Change] >=1.5  OR  [Fold Change] <=-1.5) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 2926
Data points meeting criterion (R): 60

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Blood Clotting Cascade	0	8	21	0.00%	-0.41	0.704
Dopaminergic Neurogenesis	0	8	32	0.00%	-0.41	0.991
GPCRs, Class B Secretin-like	0	8	23	0.00%	-0.41	0.809
Osteoclast	0	8	18	0.00%	-0.41	0.505
EGFR1 Signaling Pathway	2	131	177	1.53%	-0.43	0.689
Hypertrophy Model	0	9	21	0.00%	-0.43	0.549
Keap1-Nrf2	0	9	17	0.00%	-0.43	0.296
Orphan GPCRs	0	9	21	0.00%	-0.43	0.556
SREBF and miR33 in cholesterol and lipid homeostasis	0	9	14	0.00%	-0.43	0.150
Cholesterol Biosynthesis	0	10	30	0.00%	-0.46	0.879
Complement Activation, Classical Pathway	0	10	19	0.00%	-0.46	0.331
Hedgehog Signaling Pathway	0	10	23	0.00%	-0.46	0.559
Iron Homeostasis	0	10	16	0.00%	-0.46	0.171
Monoamine GPCRs	0	10	41	0.00%	-0.46	0.996
Eicosanoid Synthesis	0	11	34	0.00%	-0.48	0.913
Homologous recombination	0	11	14	0.00%	-0.48	0.101
Mitochondrial LC-Fatty Acid Beta-Oxidation	0	11	19	0.00%	-0.48	0.240
BMP Signaling Pathway in Eyelid Development	0	12	23	0.00%	-0.50	0.311
Cytokines and Inflammatory Response	0	12	32	0.00%	-0.50	0.808
Leptin Insulin Overlap	0	12	21	0.00%	-0.50	0.230
Statin Pathway	0	12	29	0.00%	-0.50	0.644
Hypothetical Network for Drug Addiction	0	13	36	0.00%	-0.52	0.848
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	3	196	333	1.53%	-0.53	0.653
Glutathione metabolism	0	14	38	0.00%	-0.54	0.821
Nucleotide Metabolism	0	14	36	0.00%	-0.54	0.752
Signal Transduction of S1P Receptor	0	14	23	0.00%	-0.54	0.214
Apoptosis Modulation by HSP70	0	15	19	0.00%	-0.56	0.143
Nuclear receptors in lipid metabolism and toxicity	0	15	40	0.00%	-0.56	0.836
Selenium Micronutrient Network	0	15	89	0.00%	-0.56	0.630
Folic Acid Network	0	16	101	0.00%	-0.58	0.631
Ovarian Infertility Genes	0	16	32	0.00%	-0.58	0.387
Peptide GPCRs	0	16	70	0.00%	-0.58	0.702
Wnt Signaling in Kidney Disease	0	16	39	0.00%	-0.58	0.699
EBV LMP1 signaling	0	17	23	0.00%	-0.60	0.190
Fatty Acid Biosynthesis	0	17	26	0.00%	-0.60	0.233
Matrix Metalloproteinases	0	18	30	0.00%	-0.62	0.264
Nuclear Receptors	0	18	38	0.00%	-0.62	0.497
Striated Muscle Contraction	0	18	46	0.00%	-0.62	0.791
Triacylglyceride Synthesis	0	18	26	0.00%	-0.62	0.207
Glutathione and one carbon metabolism	0	19	65	0.00%	-0.63	0.731
Inflammatory Response Pathway	0	19	31	0.00%	-0.63	0.261
Oxidation by Cytochrome P450	0	20	49	0.00%	-0.65	0.693
Prostaglandin Synthesis and Regulation	0	20	41	0.00%	-0.65	0.446
Purine metabolism	1	93	323	1.08%	-0.67	0.473
MAPK Cascade	0	22	32	0.00%	-0.68	0.254
Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling	0	23	36	0.00%	-0.70	0.284
Heart Development	0	23	48	0.00%	-0.70	0.443
Type II interferon signaling (IFNG)	0	24	35	0.00%	-0.71	0.264
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0	25	33	0.00%	-0.73	0.282
Tryptophan metabolism	0	25	116	0.00%	-0.73	0.613
White fat cell differentiation	0	25	35	0.00%	-0.73	0.268
DNA Replication	0	26	47	0.00%	-0.74	0.313
G13 Signaling Pathway	0	26	39	0.00%	-0.74	0.292
Glycogen Metabolism	0	26	42	0.00%	-0.74	0.305
TCA Cycle	0	26	45	0.00%	-0.74	0.320
Eukaryotic Transcription Initiation	0	27	42	0.00%	-0.76	0.293
Parkinsons Disease Pathway	0	27	74	0.00%	-0.76	0.592
Toll Like Receptor signaling	0	27	34	0.00%	-0.76	0.243
Glycolysis and Gluconeogenesis	0	28	71	0.00%	-0.77	0.522
Oxidative Damage	0	28	45	0.00%	-0.77	0.300
FAS pathway and Stress induction of HSP regulation	0	29	41	0.00%	-0.78	0.277
IL-1 Signaling Pathway	0	29	38	0.00%	-0.78	0.283
Complement and Coagulation Cascades	0	30	64	0.00%	-0.80	0.291
Microglia Pathogen Phagocytosis Pathway	0	30	46	0.00%	-0.80	0.282
Selenium metabolism/Selenoproteins	0	33	49	0.00%	-0.84	0.193
TGF Beta Signaling Pathway	0	33	53	0.00%	-0.84	0.141
Wnt Signaling Pathway	0	33	62	0.00%	-0.84	0.151
MAPK signaling pathway	1	109	161	0.92%	-0.85	0.382
Insulin Signaling	1	110	161	0.91%	-0.86	0.393
Exercise-induced Circadian Regulation	0	37	50	0.00%	-0.89	0.173
Lung fibrosis	0	37	83	0.00%	-0.89	0.369
Translation Factors	0	38	51	0.00%	-0.90	0.146
TYROBP Causal Network	0	40	60	0.00%	-0.92	0.117
Oxidative phosphorylation	0	42	65	0.00%	-0.94	0.124
G1 to S cell cycle control	0	44	63	0.00%	-0.97	0.118
Proteasome Degradation	0	45	61	0.00%	-0.98	0.120
miRNA regulation of DNA Damage Response	0	48	99	0.00%	-1.01	0.269
Cytoplasmic Ribosomal Proteins	0	51	81	0.00%	-1.04	0.177
Wnt Signaling Pathway and Pluripotency	0	54	98	0.00%	-1.07	0.178
G Protein Signaling Pathways	0	57	96	0.00%	-1.10	0.187
Apoptosis	0	62	84	0.00%	-1.15	0.170
Electron Transport Chain	0	68	115	0.00%	-1.21	0.095
Metapathway biotransformation	0	74	149	0.00%	-1.26	0.154
Regulation of Actin Cytoskeleton	0	90	157	0.00%	-1.39	0.084
miR-1 in cardiac development	0	0	6	NaN%	NaN	0.000
